year,movie,movie_id,certificate,duration,genre,rate,metascore,synopsis,votes,gross,release_date,user_reviews,critic_reviews,popularity,awards_wins,awards_nominations,Oscar_Best_Picture_won,Oscar_Best_Picture_nominated,Oscar_Best_Director_won,Oscar_Best_Director_nominated,Oscar_Best_Actor_won,Oscar_Best_Actor_nominated,Oscar_Best_Actress_won,Oscar_Best_Actress_nominated,Oscar_Best_Supporting_Actor_won,Oscar_Best_Supporting_Actor_nominated,Oscar_Best_Supporting_Actress_won,Oscar_Best_Supporting_Actress_nominated,Oscar_Best_AdaScreen_won,Oscar_Best_AdaScreen_nominated,Oscar_Best_OriScreen_won,Oscar_Best_OriScreen_nominated,Oscar_nominated,Oscar_nominated_categories,Golden_Globes_won,Golden_Globes_won_categories,Golden_Globes_nominated,Golden_Globes_nominated_categories,BAFTA_won,BAFTA_won_categories,BAFTA_nominated,BAFTA_nominated_categories,Screen_Actors_Guild_won,Screen_Actors_Guild_won_categories,Screen_Actors_Guild_nominated,Screen_Actors_Guild_nominated_categories,Critics_Choice_won,Critics_Choice_won_categories,Critics_Choice_nominated,Critics_Choice_nominated_categories,Directors_Guild_won,Directors_Guild_won_categories,Directors_Guild_nominated,Directors_Guild_nominated_categories,Producers_Guild_won,Producers_Guild_won_categories,Producers_Guild_nominated,Producers_Guild_nominated_categories,Art_Directors_Guild_won,Art_Directors_Guild_won_categories,Art_Directors_Guild_nominated,Art_Directors_Guild_nominated_categories,Writers_Guild_won,Writers_Guild_won_categories,Writers_Guild_nominated,Writers_Guild_nominated_categories,Costume_Designers_Guild_won,Costume_Designers_Guild_won_categories,Costume_Designers_Guild_nominated,Costume_Designers_Guild_nominated_categories,Online_Film_Television_Association_won,Online_Film_Television_Association_won_categories,Online_Film_Television_Association_nominated,Online_Film_Television_Association_nominated_categories,Online_Film_Critics_Society_won,Online_Film_Critics_Society_won_categories,Online_Film_Critics_Society_nominated,Online_Film_Critics_Society_nominated_categories,People_Choice_won,People_Choice_won_categories,People_Choice_nominated,People_Choice_nominated_categories,London_Critics_Circle_Film_won,London_Critics_Circle_Film_won_categories,London_Critics_Circle_Film_nominated,London_Critics_Circle_Film_nominated_categories,American_Cinema_Editors_won,American_Cinema_Editors_won_categories,American_Cinema_Editors_nominated,American_Cinema_Editors_nominated_categories,Hollywood_Film_won,Hollywood_Film_won_categories,Hollywood_Film_nominated,Hollywood_Film_nominated_categories,Austin_Film_Critics_Association_won,Austin_Film_Critics_Association_won_categories,Austin_Film_Critics_Association_nominated,Austin_Film_Critics_Association_nominated_categories,Denver_Film_Critics_Society_won,Denver_Film_Critics_Society_won_categories,Denver_Film_Critics_Society_nominated,Denver_Film_Critics_Society_nominated_categories,Boston_Society_of_Film_Critics_won,Boston_Society_of_Film_Critics_won_categories,Boston_Society_of_Film_Critics_nominated,Boston_Society_of_Film_Critics_nominated_categories,New_York_Film_Critics_Circle_won,New_York_Film_Critics_Circle_won_categories,New_York_Film_Critics_Circle_nominated,New_York_Film_Critics_Circle_nominated_categories,Los_Angeles_Film_Critics_Association_won,Los_Angeles_Film_Critics_Association_won_categories,Los_Angeles_Film_Critics_Association_nominated,Los_Angeles_Film_Critics_Association_nominated_categories,release_date.year,release_date.month,release_date.day-of-month,release_date.day-of-week
2019,Knives Out,tt8946378,PG-13,131,Comedy|Crime|Drama,8,82,"A detective investigates the death of a patriarch of an eccentric, combative family.",124710,146992387,2019-11-27,1173,367,12,39,80,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,0,,3,Best Motion Picture - Musical or Comedy|Best Performance by an Actress in a Motion Picture - Musical or Comedy|Best Performance by an Actor in a Motion Picture - Musical or Comedy,0,,1,Best Screenplay (Original),0,,0,,0,,3,Best Acting Ensemble|Best Original Screenplay|Best Comedy,0,,0,,0,,1,Outstanding Producer of Theatrical Motion Pictures,0,,1,Contemporary Film,0,,1,Original Screenplay,0,,0,,0,,6,"Best Breakthrough Performance: Female|Best Ensemble|Best Casting|Best Writing, Screenplay Written Directly for the Screen|Best Movie Poster",1,Best Ensemble,3,Best Ensemble|Best Original Screenplay|Best Picture,0,,0,,0,,1,Film of the Year,0,,1,Best Edited Feature Film - Comedy,1,Best Cast,2,Best Cast|Best Original Screenplay,1,Best Ensemble,3,Best Ensemble|Best Original Screenplay|Best Film,1,Best Original Screenplay,2,Best Original Screenplay|Best Comedy Film,0,,0,,0,,0,,0,,0,,2019,0,0,5
2019,Richard Jewell,tt3513548,R,131,Biography|Crime|Drama,7.6,69,"American security guard Richard Jewell saves thousands of lives from an exploding bomb at the 1996 Olympics, but is vilified by journalists and the press who falsely reported that he was a terrorist.",10623,22100178,2019-12-13,216,139,38,5,11,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,1,,0,,1,Best Performance by an Actress in a Supporting Role in a Motion Picture,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2019,0,0,5
2019,Judy ,tt7549996,PG-13,118,Biography|Drama|Romance,7,66,Legendary performer Judy Garland (Renée Zellweger) arrives in London in the winter of 1968 to perform a series of sold-out concerts.,14906,24044816,2019-10-04,282,200,45,18,49,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,2,,1,Best Performance by an Actress in a Motion Picture - Drama,1,Best Performance by an Actress in a Motion Picture - Drama,0,,3,Best Leading Actress|Best Costume Design|Best Make Up/Hair,1,Outstanding Performance by a Female Actor in a Leading Role,1,Outstanding Performance by a Female Actor in a Leading Role,1,Best Actress,2,Best Actress|Best Hair & Makeup,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,Best Actress|Best Makeup and Hairstyling,0,,1,Best Actress,0,,0,,0,,3,Actress of the Year|British/Irish Actress of the Year|Technical Achievement of the Year,0,,0,,1,Actress of the Year,1,Actress of the Year,0,,1,Best Actress,0,,1,Best Actress,0,,0,,0,,0,,0,,0,,2019,0,0,5
2019,Bombshell,tt6394270,R,109,Biography|Drama,6.8,66,A group of women take on Fox News head Roger Ailes and the toxic atmosphere he presided over at the network.,17083,29434908,2019-12-15,234,153,13,15,50,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,3,,0,,2,Best Performance by an Actress in a Motion Picture - Drama|Best Performance by an Actress in a Supporting Role in a Motion Picture,0,,3,Best Supporting Actress|Best Leading Actress|Best Make Up/Hair,0,,4,Outstanding Performance by a Cast in a Motion Picture|Outstanding Performance by a Female Actor in a Leading Role|Outstanding Performance by a Female Actor in a Supporting Role|Outstanding Performance by a Female Actor in a Supporting Role,1,Best Hair & Makeup,4,Best Hair & Makeup|Best Actress|Best Supporting Actress|Best Acting Ensemble,0,,0,,1,Best Producer,1,Best Producer,0,,0,,0,,0,,0,,0,,0,,1,Best Makeup and Hairstyling,0,,0,,0,,0,,0,,2,Actress of the Year|Supporting Actress of the Year,0,,0,,1,Best Hair and Makeup,2,Best Hair and Makeup|Best Actress,0,,0,,0,,1,Best Supporting Actor,0,,0,,0,,0,,0,,0,,2019,0,0,5
2019,Harriet,tt4648786,PG-13,125,Action|Biography|Drama,6.2,66,"The extraordinary tale of Harriet Tubman's escape from slavery and transformation into one of America's greatest heroes, whose courage, ingenuity, and tenacity freed hundreds of slaves and changed the course of history.",6134,43040890,2019-11-01,191,89,50,16,29,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,2,,0,,2,Best Performance by an Actress in a Motion Picture - Drama|Best Original Song - Motion Picture,0,,0,,0,,1,Outstanding Performance by a Female Actor in a Leading Role,0,,2,Best Actress|Best Song,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"Best Music, Original Song",0,,0,,0,,0,,0,British/Irish Actress of the Year,0,,0,,1,Actress of the Year,1,Actress of the Year,0,,0,,0,,1,Best Original Song,0,,0,,0,,0,,0,,0,,2019,0,0,5
2019,The Two Popes,tt8404614,PG-13,125,Biography|Comedy|Drama,7.6,75,"Behind Vatican walls, the conservative Pope Benedict and the liberal future Pope Francis must find common ground to forge a new path for the Catholic Church.",52938,52066000,2019-12-20,328,147,28,9,47,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,3,,0,,4,Best Performance by an Actor in a Motion Picture - Drama|Best Performance by an Actor in a Supporting Role in a Motion Picture|Best Screenplay - Motion Picture|Best Motion Picture - Drama,0,,5,Best Screenplay (Adapted)|Best Supporting Actor|Best Leading Actor|Outstanding British Film of the Year|Best Casting,0,,0,,0,,2,Best Supporting Actor|Best Adapted Screenplay,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,British/Irish Actor of the Year,0,,0,,1,Screenwriter of the Year,1,Screenwriter of the Year,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2019,0,0,5
2019,Pain and Glory,tt8291806,R,113,Drama,7.7,88,A film director reflects on the choices he's made as past and present come crashing down around him.,26649,4223401,2019-10-04,120,229,47,38,122,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,2,,0,,2,Best Performance by an Actor in a Motion Picture - Drama|Best Motion Picture - Foreign Language,0,,1,Best Film Not in the English Language,0,,0,,0,,2,Best Actor|Best Foreign Language Film,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,Best Actor|Best Foreign Language Film,0,,2,Best Film Not in the English Language|Best Actor,0,,0,,0,,5,Film of the Year|Foreign Language Film of the Year|Director of the Year|Screenwriter of the Year|Technical Actor of the Year,0,,0,,1,Actor of the Year,1,Actor of the Year,0,,2,Best Actor|Best Foreign Language Film,0,,2,Best Actor|Best Foreign Language Film,0,,0,,1,Best Actor,1,Best Actor,2,Best Actor|Best Foreign Film,2,Best Actor|Best Foreign Film,2019,0,0,5
2019,Jojo Rabbit ,tt2584384,PG-13,108,Comedy|Drama|War,8,58,A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.,50797,23934072,2019-11-08,530,280,9,24,118,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,6,,0,,2,Best Motion Picture - Musical or Comedy|Best Performance by an Actor in a Supporting Role in a Motion Picture|Best Screenplay - Motion Picture|Best Performance by an Actor in a Motion Picture - Musical or Comedy,0,,6,Best Screenplay (Adapted)|Best Supporting Actress|Original Music|Best Editing|Best Production Design|Best Costume Design,0,,2,Outstanding Performance by a Cast in a Motion Picture|Outstanding Performance by a Female Actor in a Supporting Role,0,Best Young Actor/Actress,7,Best Young Actor/Actress|Best Picture|Best Supporting Actress|Best Young Actor/Actress|Best Young Actor/Actress|Best Adapted Screenplay|Best Comedy,0,,1,Outstanding Directorial Achievement in Feature Film,0,,1,Outstanding Producer of Theatrical Motion Pictures,0,,1,Period Film,0,,1,Adapted Screenplay,0,,1,Excellence in Period Film,0,,0,,0,,2,Best Adapted Screenplay|Best Picture,0,,0,,0,,1,Young British/Irish Performer of the Year,1,Best Edited Feature Film - Comedy,1,Best Edited Feature Film - Comedy,2,Cinematographer of the Year|Production Designer of the Year,2,Cinematographer of the Year|Production Designer of the Year,0,,2,Best Supporting Actress|Best Adapted Screenplay|Best Film,0,,6,Best Picture|Best Director|Best Supporting Actress|Best Comedy Film|Best Adapted Screenplay|Best Original Score,0,,0,,0,,0,,0,,0,,2019,0,0,5
2019,1917,tt8579674,R,219,Drama|War,8.6,79,"Two young British soldiers during the First World War are given an impossible mission: deliver a message deep in enemy territory that will stop 1,600 men, and one of the soldiers' brothers, from walking straight into a deadly trap.",66324,81616984,2019-12-25,907,279,1,78,135,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,10,,2,Best Motion Picture - Drama|Best Director - Motion Picture,3,Best Motion Picture - Drama|Best Director - Motion Picture|Best Original Score - Motion Picture,0,,9,Best Director|Outstanding British Film of the Year|Best Film|Original Music|Best Cinematography|Best Production Design|Best Make Up/Hair|Best Sound|Best Achievement in Special Visual Effects,0,,1,Original Screenplay,3,Best Director|Best Cinematography|Best Editing,8,Best Director|Best Cinematography|Best Editing|Best Picture|Best Production Design|Best Visual Effects|Best Action Movie|Best Score,0,,1,Outstanding Directorial Achievement in Feature Film,0,,1,Outstanding Producer of Theatrical Motion Pictures,0,,1,Period Film,0,,1,Original Screenplay,0,,0,,0,,0,,2,Best Cinematography|Best Production Design,6,Best Cinematography|Best Production Design|Best Director|Best Editing|Best Original Score|Best Picture,0,,0,,0,,6,Film of the Year|Director of the Year|British/Irish Film of the Year|British/Irish Actor of the Year|Young British/Irish Performer of the Year|Technical Achievement of the Year,0,,1,Outstanding Achievement in Cinematography in Theatrical Releases,3,Best Cinematography|Best Original Score|Best Visual Effects,5,Best Cinematography|Best Original Score|Best Visual Effects|Best Picture|Best Director,2,Best Cinematography|Best Score,4,Best Cinematography|Best Score|Best Film Editing|Best Film,2,Best Picture|Best Picture,4,Best Picture|Best Picture|Best Visual Effects|Best Original Score,0,,0,,1,Best Cinematography,1,Best Cinematography,0,,2,Best Cinematography|Best Music,2019,0,0,5
2019,Parasite,tt6751668,R,132,Comedy|Drama|Thriller,8.6,96,"All unemployed, Ki-taek and his family take peculiar interest in the wealthy and glamorous Parks, as they ingratiate themselves into their lives and get entangled in an unexpected incident.",141323,25357045,2019-11-08,709,358,7,154,154,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,6,,1,Best Motion Picture - Foreign Language,3,Best Motion Picture - Foreign Language|Best Director - Motion Picture|Best Screenplay - Motion Picture,0,,4,Best Screenplay (Original)|Best Film Not in the English Language|Best Director|Best Film,0,,1,Outstanding Performance by a Cast in a Motion Picture,2,Best Director|Best Foreign Language Film,7,Best Director|Best Foreign Language Film|Best Picture|Best Acting Ensemble|Best Original Screenplay|Best Production Design|Best Editing,0,,1,Outstanding Directorial Achievement in Feature Film,0,,0,,0,,1,Contemporary Film,0,,1,Original Screenplay,0,,0,,0,,0,,6,Best Director|Best Original Screenplay|Best Editing|Best Film Not in the English Language|Best Picture|Best Production Design,7,Best Director|Best Original Screenplay|Best Editing|Best Film Not in the English Language|Best Picture|Best Production Design|Best Supporting Actor,0,,0,,0,,5,Film of the Year|Foreign Language Film of the Year|Director of the Year|Screenwriter of the Year|Technical Achievement of the Year,0,,1,Best Edited Feature Film - Dramatic,1,Filmmaker of the Year,1,Filmmaker of the Year,5,Best Film|Best Director|Best Original Screenplay|Best Foreign Language Film|Best Movie of the Decade,9,Best Film|Best Director|Best Original Screenplay|Best Foreign Language Film|Best Movie of the Decade|Best Supporting Actor|Best Cinematography|Best Ensemble|Best Film Editing,0,,3,Best Director|Best Original Screenplay|Best Foreign Language Film,2,Best Picture|Best Director|Best Foreign Language Film,3,Best Picture|Best Director|Best Foreign Language Film|Best Ensemble Cast,1,Best Foreign Language Film,1,Best Foreign Language Film,3,Best Picture|Best Director|Best Supporting Actor,5,Best Picture|Best Director|Best Supporting Actor|Best Screenplay|Best Production Design,2019,0,0,5
2019,Little Woman,tt3281548,PG ,135,Romance|Drama,8.3,91,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women each determined to live life on their own terms.",21216,74182402,2019-12-25,290,179,3,49,146,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,6,,0,,2,Best Performance by an Actress in a Motion Picture - Drama|Best Original Score - Motion Picture,0,,5,Best Screenplay (Adapted)|Best Supporting Actress|Best Leading Actress|Original Music|Best Costume Design,0,,0,,1,Best Adapted Screenplay,9,Best Adapted Screenplay|Best Picture|Best Actress|Best Supporting Actress|Best Acting Ensemble|Best Director|Best Production Design|Best Costume Design|Best Score,0,,0,,0,,0,,0,,0,,0,,1,Adapted Screenplay,0,,0,,0,,0,,0,,3,Best Supporting Actress|Best Adapted Screenplay|Best Original Score,0,,0,,0,,4,Supporting Actress of the Year|British/Irish Actress of the Year|British/Irish Actress of the Year|Technical Achievement of the Year,0,,0,,0,,3,Best Costume Design|Best Score|Best Female Director,2,Best Adapted Screenplay,6,Best Adapted Screenplay|Best Director|Best Supporting Actress|Best Score|Best Ensemble,0,,5,Best Director|Best Supporting Actress|Best Adapted Screenplay|Best Original Score|Best Actress,4,Best Film|Best Actress|Best Ensemble Cast|Best Original Score,7,Best Film|Best Actress|Best Ensemble Cast|Best Original Score|Best Supporting Actress|Best Director|Best Screenplay,0,,0,,0,,0,,2019,0,0,5
2019,Ford v Ferrari,tt1950186,PG-13,152,Action|Biography|Drama,8.3,81,"American car designer Carroll Shelby and driver Ken Miles battle corporate interference, the laws of physics and their own personal demons to build a revolutionary race car for Ford and challenge Ferrari at the 24 Hours of Le Mans in 1966.",85940,11418552,2019-11-15,754,280,24,21,54,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4,,0,,1,Best Performance by an Actor in a Motion Picture - Drama,0,,3,Best Cinematography|Best Editing|Best Sound,0,,2,Outstanding Action Performance by a Stunt Ensemble in a Motion Picture|Outstanding Performance by a Male Actor in a Leading Role,0,,5,Best Picture|Best Cinematography|Best Editing|Best Visual Effects|Best Action Movie,0,,0,,0,,0,,0,,1,Period Film,0,,0,,0,,0,,0,,0,,0,,1,Best Editing,0,,0,,0,,1,Young British/Irish Performer of the Year,0,,1,Best Edited Feature Film - Dramatic,3,Editor of the Year|Sound of the Year|Director of the Year,3,Editor of the Year|Sound of the Year|Director of the Year,0,,1,Best Stunts,0,,0,,0,,0,,0,,0,,0,,0,,2019,0,0,5
2019,Marriage Story,tt7653254,R,139,Comedy|Drama|Romance,8.1,93,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,115317,52066000,2019-12-06,755,261,12,89,203,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,6,,1,Best Performance by an Actress in a Supporting Role in a Motion Picture,6,Best Performance by an Actress in a Supporting Role in a Motion Picture|Best Performance by an Actress in a Motion Picture - Drama|Best Performance by an Actor in a Motion Picture - Drama|Best Screenplay - Motion Picture|Best Original Score - Motion Picture|Best Motion Picture - Drama,0,,5,Best Screenplay (Original)|Best Leading Actor|Best Supporting Actress|Best Leading Actress|Best Casting,0,,3,Outstanding Performance by a Male Actor in a Leading Role|Outstanding Performance by a Female Actor in a Leading Role|Outstanding Performance by a Female Actor in a Leading Role,1,Best Supporting Actress,8,Best Supporting Actress|Best Picture|Best Actor|Best Actress|Best Acting Ensemble|Best Director|Best Original Screenplay|Best Score,0,,0,,0,,1,Outstanding Producer of Theatrical Motion Pictures,0,,0,,0,,1,Original Screenplay,0,,0,,0,,0,,1,Best Actor,6,Best Actor|Best Actress|Best Supporting Actress|Best Original Screenplay|Best Original Score|Best Picture,0,,0,,0,,5,Film of the Year|Screenwriter of the Year|Actress of the Year|Actor of the Year|Supporting Actress of the Year,0,,1,Best Edited Feature Film - Dramatic,2,Composer of the Year|Supporting Actress of the Year,2,Composer of the Year|Supporting Actress of the Year,0,,6,Best Actor|Best Actress|Best Supporting Actress|Best Original Screenplay|Best Score|Best Film,0,,6,Best Actor|Best Actress|Best Supporting Actress|Best Original Screenplay|Best Original Score|Best Picture,1,Best Supporting Actress,2,Best Supporting Actress|Best Screenplay,1,Best Supporting Actress,0,Best Supporting Actress,1,Best Screenplay,2,Best Screenplay|Best Actor,2019,0,0,5
2019,Joker,tt7286456,R,122,Crime|Drama|Thriller,8.6,59,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",499186,334046521,2019-10-04,8865,608,10,29,129,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,11,,2,Best Performance by an Actor in a Motion Picture - Drama|Best Original Score - Motion Picture,4,Best Performance by an Actor in a Motion Picture - Drama|Best Original Score - Motion Picture|Best Motion Picture - Drama|Best Director - Motion Picture,0,,11,Best Screenplay (Adapted)|Best Leading Actor|Best Director|Best Film|Original Music|Best Cinematography|Best Editing|Best Production Design|Best Make Up/Hair|Best Sound|Best Casting,0,,2,Outstanding Action Performance by a Stunt Ensemble in a Motion Picture|Outstanding Performance by a Male Actor in a Leading Role,2,Best Actor|Best Score,7,Best Actor|Best Score|Best Picture|Best Adapted Screenplay|Best Cinematography|Best Production Design|Best Hair & Makeup,0,,0,,0,,1,Outstanding Producer of Theatrical Motion Pictures,0,,1,Period Film,0,,1,Adapted Screenplay,0,,0,,0,,0,,0,,2,Best Actor|Best Original Score,0,,0,,0,,2,Film of the Year|Actor of the Year,0,,1,Best Edited Feature Film - Dramatic,0,,7,Best Costume Design|Best Hair and Makeup|Best Score|Best Picture|Best Actor|Best Adapted Screenplay|Best Cinematography,0,,0,,0,,2,Best Actor|Best Original Score,0,,1,Best Actor,0,,0,,0,,0,,2019,0,0,5
2019,The Irishman,tt1302006,R,209,Biography|Crime|Drama,8.1,94,A mob hitman recalls his possible involvement with the slaying of Jimmy Hoffa.,191699,52066000,2019-11-27,2215,380,7,45,263,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,10,,0,,5,Best Motion Picture - Drama|Best Performance by an Actor in a Supporting Role in a Motion Picture|Best Performance by an Actor in a Supporting Role in a Motion Picture|Best Director - Motion Picture|Best Screenplay - Motion Picture,0,,10,Best Screenplay (Adapted)|Best Supporting Actor|Best Director|Best Film|Best Cinematography|Best Editing|Best Production Design|Best Costume Design|Best Achievement in Special Visual Effects,0,,4,Outstanding Action Performance by a Stunt Ensemble in a Motion Picture|Outstanding Performance by a Cast in a Motion Picture|Outstanding Performance by a Male Actor in a Supporting Role|Outstanding Performance by a Male Actor in a Supporting Role,1,Best Acting Ensemble,14,Best Acting Ensemble|Best Picture|Best Supporting Actor|Best Director|Best Adapted Screenplay|Best Cinematography|Best Production Design|Best Editing|Best Costume Design|Best Hair & Makeup|Best Visual Effects|Best Score,0,,1,Outstanding Directorial Achievement in Feature Film,0,,2,Outstanding Producer of Theatrical Motion Pictures,0,,1,Period Film,0,,1,Adapted Screenplay,0,,0,,0,,0,,1,Best Adapted Screenplay,7,Best Adapted Screenplay|Best Director|Best Actor|Best Supporting Actor|Best Editing|Best Cinematography|Best Picture,0,,0,,0,,5,Film of the Year|Director of the Year|Screenwriter of the Year|Actor of the Year|Supporting Actor of the Year,0,,1,Best Edited Feature Film - Dramatic,3,Visual Effects of the Year|Supporting Actor of the Year|Producer of the Year,3,Visual Effects of the Year|Supporting Actor of the Year|Producer of the Year,0,,6,Best Director|Best Supporting Actor|Best Adapted Screenplay|Best Ensemble|Best Film Editing|Best Film,0,,4,Best Supporting Actor|Best Adapted Screenplay|Best Supporting Actor|Best Visual Effects,1,Best Film Editing,2,Best Film Editing|Best Supporting Actor,2,Best Film|Best Supporting Actor,2,Best Film|Best Supporting Actor,0,,3,Best Picture|Best Director|Best Supporting Actor,2019,0,0,5
2019,Once Upon a Time... in Hollywood,tt7131622,R,161,Comedy|Drama,7.8,83,A faded television actor and his stunt double strive to achieve fame and success in the film industry during the final years of Hollywood's Golden Age in 1969 Los Angeles.,327233,141103164,2019-07-26,4025,563,6,75,247,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,10,,3,Best Motion Picture - Musical or Comedy|Best Performance by an Actor in a Supporting Role in a Motion Picture|Best Screenplay - Motion Picture,5,Best Motion Picture - Musical or Comedy|Best Performance by an Actor in a Supporting Role in a Motion Picture|Best Screenplay - Motion Picture|Best Performance by an Actor in a Motion Picture - Musical or Comedy|Best Director - Motion Picture,0,,10,Best Screenplay (Original)|Best Supporting Actor|Best Leading Actor|Best Supporting Actress|Best Director|Best Film|Best Editing|Best Production Design|Best Costume Design|Best Casting,0,,4,Outstanding Action Performance by a Stunt Ensemble in a Motion Picture|Outstanding Performance by a Cast in a Motion Picture|Outstanding Performance by a Male Actor in a Leading Role|Outstanding Performance by a Male Actor in a Supporting Role,4,Best Picture|Best Supporting Actor|Best Original Screenplay|Best Production Design,12,Best Picture|Best Supporting Actor|Best Original Screenplay|Best Production Design|Best Actor|Best Young Actor/Actress|Best Acting Ensemble|Best Director|Best Cinematography|Best Editing|Best Costume Design|Best Hair & Makeup,0,,1,Outstanding Directorial Achievement in Feature Film,0,,1,Outstanding Producer of Theatrical Motion Pictures,0,,1,Period Film,0,,0,,0,,1,Excellence in Period Film,0,,7,Best Cinematography|Best Supporting Male|Best Film|Best Director|Best Male Lead|Best Acting Ensemble|Best Original Screenplay,1,Best Supporting Actor,7,Best Picture|Best Director|Best Supporting Actor|Best Original Screenplay|Best Editing|Best Cinematography,0,,3,Favorite Drama Movie|Favorite Drama Movie Star|Favorite Drama Movie Star,0,,2,Supporting Actor of the Year|Technical Achievement of the Year,0,,1,Best Edited Feature Film - Comedy,0,,11,Best Costume Design|Best Editing|Best Picture|Best Actor|Best Supporting Actor|Best Supporting Actress|Best Male Director|Best Performance by an Actor or Actress 23 and Under|Best Cast|Best Blockbuster|Best Cinematography,0,,10,Best Supporting Actor|Best Movie of the Decade|Best Director|Best Actor|Best Original Screenplay|Best Cinematography|Best Ensemble|Best Film Editing|Best Stunts|Best Film,0,,5,Best Supporting Actor|Best Picture|Best Director|Best Actor|Best Original Screenplay,2,Best Supporting Actor|Best Screenplay,4,Best Supporting Actor|Best Screenplay|Best Cinematography|Best Ensemble Cast,1,Best Screenplay,1,Best Screenplay,1,Best Production Design,1,Best Production Design,2019,0,0,5